Price,Close,EMA200,Upper_Buffer,Lower_Buffer,SMA200,SMA40
Ticker,^IXIC,,,,,
Date,,,,,,
2021-01-05,12818.96,10904.41,11231.54,10577.27,10575.44,12335.65
2021-01-06,12740.79,10922.68,11250.36,10595.0,10604.84,12356.79
2021-01-07,13067.48,10944.02,11272.34,10615.7,10633.09,12390.63
2021-01-08,13201.98,10966.49,11295.48,10637.49,10662.18,12431.83
2021-01-11,13036.43,10987.08,11316.7,10657.47,10688.37,12463.08
2021-01-12,13072.43,11007.83,11338.07,10677.6,10716.22,12497.15
2021-01-13,13128.95,11028.94,11359.81,10698.07,10743.0,12529.64
2021-01-14,13112.64,11049.67,11381.16,10718.18,10770.06,12559.36
2021-01-15,12998.5,11069.06,11401.14,10736.99,10798.25,12586.84
2021-01-19,13197.18,11090.24,11422.95,10757.53,10826.8,12621.72
2021-01-20,13457.25,11113.79,11447.21,10780.38,10857.22,12660.54
2021-01-21,13530.91,11137.84,11471.98,10803.71,10885.31,12702.44
2021-01-22,13543.06,11161.78,11496.63,10826.92,10913.59,12744.0
2021-01-25,13635.99,11186.39,11521.99,10850.8,10941.31,12783.98
2021-01-26,13626.06,11210.67,11546.99,10874.35,10968.67,12822.27
2021-01-27,13270.6,11231.17,11568.1,10894.23,10994.07,12848.89
2021-01-28,13337.16,11252.12,11589.69,10914.56,11018.17,12877.35
2021-01-29,13070.69,11270.22,11608.32,10932.11,11041.56,12895.24
2021-02-01,13403.39,11291.44,11630.19,10952.7,11065.92,12921.59
