Date,Code,Name,Open,High,Low,Close,Volume,Amount,Daily_Return_Pct,EMA20,EMA50,EMA200,SMA200,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,MACD,MACD_Signal,MACD_Histogram,ROC20_Pct,RSI14,Volatility20_Pct,High252,Distance_EMA200_Pct,Distance_High252_Pct,Drawdown_Pct,Robust_Log_Trend,Robust_Log_Lower,Robust_Log_Upper,Robust_Log_Deviation_Pct,Robust_Log_Percentile,Amount_Ratio20,Money_Flow_Ratio_Pct,Estimated_Net_Flow,Estimated_Inflow,Estimated_Outflow,Estimated_Net_Flow_5,Money_Flow_Ratio_5_Pct,Estimated_Net_Flow_20,Money_Flow_Ratio_20_Pct,Flow_Confidence_Pct
2023-09-15,931743,半导体材料设备,3191.7000,3241.6200,3147.4700,3194.9500,497516015.0000,14311000000.0000,0.4108,3238.4661,3291.0478,3427.4830,,3198.0960,3430.2745,2965.9175,-7.3882,-10.6119,3.2237,2.4844,45.7045,34.3617,,-6.7844,,-9.4887,2420.8248,1930.8941,3444.4879,31.9777,85.8466,0.9318,0.8603,123121720.6585,7217060860.3293,7093939139.6707,-16551798858.6288,-24.7741,-17854699637.7156,-5.8125,93.1769
2023-09-18,931743,半导体材料设备,3169.0500,3182.7700,3132.3000,3140.6100,420323180.0000,11990000000.0000,-1.7008,3229.1465,3285.1483,3424.6285,,3200.6995,3429.0417,2972.3573,-14.5993,-11.4094,-3.1899,1.6859,41.6467,34.7883,,-8.2934,,-11.0281,2427.5050,1936.2224,3453.9929,29.3760,83.5979,0.7698,-67.0695,-8041638597.1865,1974180701.4068,10015819298.5932,-25281842319.9067,-40.7930,-18249338234.9020,-5.8581,76.9769
2023-09-19,931743,半导体材料设备,3139.7200,3139.8500,3065.1600,3102.8400,403459884.0000,11491000000.0000,-1.2026,3217.1173,3277.9990,3421.4266,,3200.1350,3429.3845,2970.8855,-23.0957,-13.7467,-9.3490,-0.3625,39.0514,34.9757,,-9.3115,,-12.0981,2429.7358,1938.0017,3457.1670,27.7028,81.7460,0.7370,0.8970,103078993.1719,5797039496.5859,5693960503.4141,-17670536573.0646,-28.5644,-27899738071.9353,-8.9474,73.7032
2023-09-20,931743,半导体材料设备,3091.4200,3109.1500,3055.7400,3057.0300,384770342.0000,9142000000.0000,-1.4764,3201.8709,3269.3335,3417.8008,,3202.1440,3425.5636,2978.7244,-33.1436,-17.6260,-15.5175,1.3319,36.1120,33.4779,,-10.5556,,-13.3959,2431.9687,1939.7827,3460.3441,25.7019,80.0265,0.5855,-95.1694,-8700390563.5647,220804718.2176,8921195281.7824,-23299644294.6410,-39.9692,-27989171405.5831,-8.9622,58.5457
2023-09-21,931743,半导体材料设备,3050.6000,3070.4300,3031.9300,3034.5300,395427367.0000,8501000000.0000,-0.7360,3185.9336,3260.1255,3413.9871,,3200.8190,3427.8555,2973.7825,-42.4330,-22.5874,-19.8455,-0.8657,34.7293,33.1872,,-11.1148,,-14.0333,2434.2036,1941.5653,3463.5240,24.6621,78.5714,0.5483,-86.4935,-7352812987.0128,574093506.4936,7926906493.5064,-23868641433.9336,-43.0570,-35311482861.2832,-11.3869,54.8262
2023-09-22,931743,半导体材料设备,3028.0000,3101.2600,3021.4200,3101.2600,489353978.0000,12290000000.0000,2.1990,3177.8695,3253.8955,3410.8754,,3205.7780,3419.1559,2992.4001,-43.9043,-26.8508,-17.0535,3.3037,41.8416,33.2799,,-9.0773,,-12.1429,2436.4406,1943.3495,3466.7069,27.2865,81.2169,0.7843,100.0000,12290000000.0000,12290000000.0000,0.0000,-11701763154.5922,-21.9077,-18536141684.8127,-5.9147,78.4324
2023-09-25,931743,半导体材料设备,3092.3900,3113.3200,3064.5500,3095.1500,453765990.0000,11960000000.0000,-0.1970,3169.9914,3247.6702,3407.7339,,3210.7520,3408.3623,3013.1417,-45.0440,-30.4894,-14.5546,3.3208,41.3968,33.2773,,-9.1728,,-12.3160,2443.1639,1948.7122,3476.2732,26.6861,80.9524,0.7702,25.4870,3048242772.1960,7504121386.0980,4455878613.9020,-611881785.2097,-1.1462,-2043421706.9442,-0.6579,77.0162
2023-09-26,931743,半导体材料设备,3087.1900,3097.0500,3062.1800,3067.8300,374536038.0000,9512000000.0000,-0.8827,3160.2618,3240.6176,3404.3518,,3207.4395,3412.1724,3002.7066,-47.6031,-33.9122,-13.6909,-2.1139,39.3809,29.0067,,-9.8850,,-13.0899,2445.4091,1950.5030,3479.4678,25.4526,79.6296,0.6260,-67.5939,-6429533696.5873,1541233151.7063,7970766848.2937,-7144494474.9689,-13.8984,-23174940704.3743,-7.6257,62.5981
2023-09-27,931743,半导体材料设备,3067.5600,3122.2800,3063.6600,3077.0200,462654723.0000,11859000000.0000,0.2996,3152.3340,3234.2020,3401.0947,,3200.0010,3412.2007,2987.8013,-48.3324,-36.7962,-11.5362,-4.6119,40.4317,26.7975,,-9.5285,,-12.8296,2447.6564,1952.2955,3482.6654,25.7129,80.1587,0.8056,-54.4183,-6453464687.8198,2702767656.0901,9156232343.9099,-4897568599.2240,-9.0491,-29339993454.3198,-9.9659,80.5628
2023-09-28,931743,半导体材料设备,3081.1000,3188.7900,3063.4200,3162.8500,539057008.0000,15048000000.0000,2.7894,3153.3355,3231.4039,3398.7241,,3193.5810,3402.0867,2985.0753,-41.5062,-37.7382,-3.7680,-3.9013,49.2756,27.7629,,-6.9401,,-10.3981,2449.9057,1954.0896,3485.8659,29.1009,83.4656,1.0407,58.6185,8820910265.6138,11934455132.8069,3113544867.1931,11276154653.4026,18.5864,-35093255013.8795,-12.1354,100.0000
2023-10-09,931743,半导体材料设备,3143.8800,3182.3500,3129.2100,3164.8400,481555184.0000,11517000000.0000,0.0629,3154.4312,3228.7936,3396.3969,,3187.6605,3392.3347,2982.9863,-35.5263,-37.2959,1.7695,-3.6065,49.4630,27.7756,,-6.8177,,-10.3417,2474.7853,1973.9340,3521.2660,27.8834,81.8783,0.8076,34.0986,3927136620.2485,7722068310.1242,3794931689.8758,2913291273.6511,4.8639,-21973501026.2107,-7.7040,80.7584
2023-10-10,931743,半导体材料设备,3170.8900,3202.1700,3158.8900,3159.4900,406765228.0000,12261000000.0000,-0.1690,3154.9130,3226.0758,3394.0396,,3180.9890,3380.1279,2981.8501,-30.8631,-36.0093,5.1462,-4.0520,48.9397,27.7217,,-6.9106,,-10.4932,2477.0596,1975.7480,3524.5020,27.5500,81.4815,0.8743,-97.2274,-11921046210.7209,169976894.6395,12091023105.3605,-12055997709.2658,-20.0276,-45924091189.3440,-16.3739,87.4312
